"Base Tous Salariés : fichier Postes - 2021"





post
"Données par poste de travail et données de niveau établissement réintégrées au niveau poste 2021"

"Nom de la variable";Libellé;Modalités
brut_f;"Montant brut des rémunérations";
brut_s;"La base brute de sécurité sociale (ou rémunération brute déplafonnée) correspond aux sommes soumises à des cotisations sociales";
catjur;"Catégorie juridique du lieu de travail";"Nomenclature des catégories juridiques - <a href='https://www.insee.fr/fr/information/2028129' target=""_blank ""> cliquer ici</a>"
catjur_empl;"Catégorie juridique de l'employeur";"Nomenclature des catégories juridiques - <a href='https://www.insee.fr/fr/information/2028129' target=""_blank ""> cliquer ici</a>"
champ;"Champ des données (regroupement de modalités de la variable ORIGINE)";"DADS - Déclaration Annuelles de Données Sociales";"DSN - Déclaration Sociale Nominative";"PE - Particulier employeur";"SIASP - Agents des services publics"
codecom_siege;"Commune d'implantation de l'établissement (siège social)";"Code commune - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
com_empl;"Commune de l'employeur";"Code commune - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
comr;"Commune de résidence du salarié";"Code commune - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
comt;"Commune du lieu de travail";"Code commune - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
contrat_travail;"Type de contrat de travail";"01 - Contrat à durée indéterminée";"02 - Contrat à durée déterminée";"03 - Contrat de travail temporaire (mission)";"04 - Contrat d’apprentissage dans des entreprises artisanales ou de 10 salariés au plus";"05 - Contrat d’apprentissage dans des entreprises non artisanales de plus de 10 salariés";"20 - Élus";"90 - Autres contrats";"92 - Assistant maternel et familial";"93 - Contrat aidé (contrat emploi consolidé, contrat d'avenir, contrat d'accompagnement dans l'emploi, contrat initiative emploi, contrat d'accès à l'emploi, contrat d'insertion par l'activité, contrat de professionnalisation)";"95 - Travail occasionnel (saisonnier, occasionnel)";"96 - Contrat à durée indéterminée intermittent"
conv_coll;"Convention collective de branche selon la nomenclature IDCC (Identifiant De la Convention Commune) gérée par le Ministère du Travail";"IDCC - <a href='https://travail-emploi.gouv.fr/dialogue-social/negociation-collective/article/conventions-collectives-nomenclatures' target=""_blank""> cliquer ici</a>"
conv_meta;"Type de couverture par une convention collective";"CC - Poste couvert par une convention collective gérée par le Ministère du Travail (dans ce cas, la variable CONV_COLL est redressée par la DARES)";"AUT - Poste couvert par une convention collective gérée par le Ministère de l'Agriculture ou poste à statut";"VC - Vide conventionnel : poste non couvert par une convention collective ou un statut";"HCS - Hors champ statistique : poste annexe ou salarié des particuliers employeurs (dans ce cas, la variable CONV_COLL est la valeur déclarée par l'établissement)"
cpfd;"Condition d'emploi";"C - Temps complet";"P - Temps partiel";"N - Non concerné";"S - Chômage"
cris;"Convention collective regroupée pour l'information statistique";"A10 - Métallurgie";"A20 - Sidérurgie";"B10 - Bâtiment";"B20 - Travaux publics";"C10 - Chimie";"C21 - Industrie pharmaceutique";"C22 - Fabrication, commerce et répartition pharmaceutiques";"C23 - Officines pharmaceutiques";"D11 - Plastiques";"D12 - Caoutchouc";"D21 - Industrie pétrolière";"D22 - Commerce des combustibles";"E11 - Fabrication mécanique du verre";"E12 - Autres branches du verre";"E21 - Industrie des carrières et matériaux";"E22 - Céramique";"E23 - Chaux, ciments, tuiles et briques";"E24 - Commerce des matériaux de construction";"F11 - Travail mécanique du bois";"F12 - Autres branches du bois";"F21 - Industrie de l'ameublement";"F22 - Commerce de l'ameublement";"F23 - Jeux et jouets";"F31 - Papiers et cartons";"F32 - Papeterie et cartonnages";"G11 - Industrie textile";"G12 - Autres branches du textile";"G13 - Industrie de l'habillement";"G14 - Autres branches de l'habillement";"G15 - Blanchisserie";"G21 - Cuirs";"G22 - Industrie de la chaussure";"G23 - Autres branches de la chaussure";"H11 - Imprimerie de labeur";"H12 - Branches associées à l'imprimerie";"H20 - Presse";"H31 - Édition";"H32 - Librairie";"H41 - Cinéma et photographie";"H42 - Audiovisuel hors cinéma";"H50 - Spectacles vivants";"H60 - Télécommunications";"H70 - Publicité et connexes";"I10 - Produits du sol";"I21 - Viandes";"I22 - Charcuterie et boyauderie";"I23 - Œufs, volailles et poissons";"I31 - Boulangerie et pâtisserie";"I32 - Confiserie, biscuiterie et glaces";"I41 - Vins et spiritueux";"I42 - Autres branches de boissons";"I51 - Industrie laitière";"I52 - Industrie de la conserve";"I53 - Épiceries et coopératives";"I54 - Agro-alimentaire divers";"J10 - Commerce de gros";"J20 - Import-export";"K00 - Commerce principalement alimentaire";"L11 - Commerce de la quincaillerie";"L12 - Commerce de l'électroménager";"L13 - Commerce du bricolage";"L14 - Commerce de l'optique";"L21 - Grands magasins et magasins populaires";"L22 - Vente par catalogue";"L23 - Autres branches de commerce de détail non alimentaire";"M10 - Services de l'automobile";"M20 - Commerce et services des tracteurs et matériels roulants divers";"N11 - Hôtels-cafés-restaurants";"N12 - Cafétérias et restauration ferroviaire";"N13 - Restauration rapide";"N20 - Tourisme";"N30 - Restauration de collectivités";"O11 - Transports routiers";"O12 - Transports urbains";"O21 - Transports aériens (hors Air France)";"O22 - Transports maritimes, fluviaux et divers";"O23 - Sociétés d'autoroutes";"P11 - Hospitalisation à but non lucratif";"P12 - Établissements pour personnes inadaptées";"P13 - Organismes de sécurité sociale";"P14 - Animation";"P15 - Centres de soins ou sociaux et hébergement social";"P16 - Aide à domicile";"P21 - Hospitalisation privée";"P22 - Prévention et convalescence";"P23 - Laboratoires d'analyses médicales";"P24 - Cabinets médicaux";"P25 - Cabinets dentaires";"P26 - Animation";"P27 - Autres branches sanitaires et sociales";"Q11 - Banques, hors mutualité et statuts";"Q12 - Crédit mutuel";"Q13 - Établissements financiers";"Q21 - Sociétés d'assurances";"Q22 - Agences générales et courtage d'assurances";"Q23 - Branches associées à l'assurance";"R11 - Immobilier et promotion";"R12 - H.L.M. (hors O.P.A.C.) et crédit immobilier";"R20 - Architecture et expertise de la construction";"S10 - Bureaux d'études et sociétés de conseil";"S20 - Prestations de services aux entreprises";"T11 - Notariat";"T12 - Avocats et avoués";"T13 - Autres professions juridiques";"T20 - Audit et expertise comptable";"U11 - Propreté";"U12 - Déchet, assainissement et désinfection";"U13 - Manutention";"U20 - Récupération";"U30 - Prévention - sécurité";"V10 - Eau, aéraulique et thermique";"V20 - Bijouterie horlogerie";"V31 - Enseignement privé";"V32 - Organismes de formation";"V40 - Travail temporaire (permanents)";"V51 - Coiffure";"V52 - Parfumerie - esthétique";"V53 - Pompes funèbres";"V54 - Activités sportives";"V55 - Autres branches de services";"W11 - Coopératives agricoles";"W12 - Activités agricoles non coopératives";"W21 - Crédit agricole";"W22 - Mutualité agricole";"W23 - Autre tertiaire agricole";"X10 - Fonction publique";"X21 - Chemins de fer";"X22 - Industries électriques et gazières";"X23 - Mines";"X24 - Caisses d'épargne";"X25 - Offices H.L.M.";"X26 - R.A.T.P.";"X27 - Banque de France";"X28 - Autres secteurs sous statut";"Y10 - Secteurs à convention d'entreprise exclusive";"Y21 - Travail temporaire (intérimaires)";"Y22 - V.R.P.";"Y30 - Hors couverture conventionnelle ou statutaire"
datdeb;"Date de début de rémunération de la première période du poste";
datdeb2;"Date de début de rémunération de la deuxième période du poste";
datfin;"Date de fin de rémunération de la dernière période du poste";
datfin1;"Date de fin de rémunération de la première période du poste";
date_debut_contrat;"Date de début du contrat de travail";
decal_paie_decl;"Décalage de paie déclaré pour le poste";"01 - Poste sans décalage de paie";"02 - Entrée en décalage en cours d'exercice";"03 - Décalage constant";"04 - Sortie de décalage en cours d'exercice"
dep_naiss;"Département de naissance du salarié";"Code département - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
depr;"Département de résidence du salarié";"Code département - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
dept;"Département du lieu de travail";"Code département - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
dispol;"Dispositif de politique publique associé au contrat";"21 - CUI : Contrat Initiative Emploi";"41 - CUI : Contrat d'Accompagnement dans l'Emploi";"42 - CUI : Contrat d'accès à l'emploi – DOM";"50 - Emploi d'avenir secteur marchand";"51 - Emploi d'avenir secteur non marchand";"61 - Contrat de professionnalisation";"64 - Contrat d'apprentissage dans une entreprise artisanale ou dans une entreprise de moins de 11 salariés (loi du 3 janvier 1979)";"65 - Contrat d’apprentissage dans une entreprise non inscrite au répertoire des métiers d'au moins 11 salariés (loi de 1987)";"70 - Contrat à durée déterminée pour les séniors";"71 - Contrat à durée déterminée d’insertion";"80 - Contrat de génération";"81 - Contrat d'apprentissage secteur public (Loi de 1992)";"90 - [DADS] Autres contrats";"99 - Non concerné"
domempl;"Domaine d'emploi du lieu de travail (établissement d'affectation)";" - Entreprises sans catégorie juridique renseignée";"1 - Fonction Publique d'État";"2 - Fonction Publique Territoriale";"3 - Fonction Publique Hospitalière";"4 - Autres organismes publics administratifs";"5 - Personnes morales de droit public soumises au droit commercial";"6 - Entreprises individuelles";"7 - Particuliers employeurs";"8 - Organismes privés spécialisés et groupements de droit privé";"9 - Autres sociétés privées"
domempl_empl;"Domaine d'emploi de l'employeur";" - Entreprises sans catégorie juridique renseignée";"1 - Fonction Publique d'État";"2 - Fonction Publique Territoriale";"3 - Fonction Publique Hospitalière";"4 - Autres organismes publics administratifs";"5 - Personnes morales de droit public soumises au droit commercial";"6 - Entreprises individuelles";"7 - Particuliers employeurs";"8 - Organismes privés spécialisés et groupements de droit privé";"9 - Autres sociétés privées"
duree;"Durée de paie en jours";
eff_0101;"Effectif au 01/01 de l'entreprise (postes non annexes, hors intérimaires)";
eff_0101_et;"Effectif au 01/01 de l'établissement (postes non annexes, hors intérimaires)";
eff_3112;"Effectif au 31/12 de l'entreprise (postes non annexes, hors intérimaires)";
eff_3112_et;"Effectif au 31/12 de l'établissement (postes non annexes, hors intérimaires)";
eff_moy_et;"Effectif moyen de l'établissement (postes non annexes, hors intérimaires)";
eqtp;"Équivalent temps plein";
filt;"Type de poste";" - Poste non présent sur la validité";"1 - Poste non annexe";"2 - Poste annexe";"3 - Poste ASSEDIC (indemnité chômage)"
frontalier;"Code frontalier";" - Travailleur non frontalier";"F ou E - Travailleur frontalier"
ident_s;"Identifiant salarié";
ind_3112;"Indicateur de présence au 31/12";"0 - Poste non présent";"1 - Poste présent au 31/12 (ou au 30/11 avec un décalage de paie)";"2 - Poste présent la dernière semaine de décembre mais non présent au 31/12"
ind_nir;"Mode de redressement du NIR";"C - NIR certifié";"F - NIR fictif"
ir_comr;"Indicateur de redressement de la variable COMR";"A - Donnée redressée automatiquement";"C - Donnée redressée par le chef-lieu";"D - Donnée déclarée";"G - Donnée redressée par le gestionnaire"
ir_dates;"Indicateur de redressement de la variable DATES";"D - Donnée déclarée";"R - Donnée redressée"
ir_fronta;"Indicateur de redressement de la variable FRONTA";"D - Donnée déclarée";"R - Donnée redressée"
ir_nbheur;"Indicateur de redressement de la variable NBHEUR";"D - Donnée déclarée";"R - Donnée redressée"
ir_pcs;"Indicateur de redressement de la variable PCS";"D - Donnée déclarée";"I - Imputation";"R - Particulier employeur";"S - SIASP"
ir_sexe;"Indicateur de redressement de la variable SEXE";"D - Donnée déclarée";"R - Donnée redressée"
marchet;"Caractère marchand de l'établissement";"MA - Marchand";"PR - Non marchand à caractère privé";"PU - Non marchand à caractère privé";"HC - Hors champ";"N - Non renseigné"
motifcdd;"Motif d'embauche d'un CDD";"01 - Remplacement d'un salarié";"02 - Accroissement temporaire de l'activité de l'entreprise";"03 - Emplois à caractère saisonnier";"04 - Contrat vendanges";"05 - Contrat d’usage";"06 - Contrat à durée déterminée à objet défini";"07 - Remplacement d'un chef d'entreprise";"08 - Remplacement du chef d'une exploitation agricole (ou d'une entreprise mentionnée aux premier et quatrième de l'article L.)";"09 - Recrutement de personnes sans emploi rencontrant des difficultés sociale et professionnelles particulières";"10 - Complément de formation professionnelle au salarié";"11 - Formation professionnelle au salarié par la voie de l'apprentissage, en vue de l'obtention d'une qualification";"12 - Remplacement d’un salarié passé provisoirement à temps partiel";"13 - Attente de la suppression définitive du poste du salarié ayant quitté définitivement l'entreprise"
nat_contrat;"Nature du contrat";"01 - Contrat à durée indéterminée";"02 - Contrat à durée déterminée";"03 - Contrat de mission (contrat de travail temporaire)";"07 - Contrat à durée indéterminée intermittent";"08 - Contrat à durée indéterminée intérimaire";"09 - Contrat de travail à durée indéterminée de droit public";"10 - Contrat de travail à durée déterminée de droit public";"29 - Convention de stage (hors formation professionnelle)";"32 - Contrat d’appui au projet d’entreprise";"50 - Nomination dans la fonction publique (par arrêté, par décision…)";"60 - Contrat d’engagement éducatif";"70 - Contrat de soutien et d’aide par le travail";"80 - Mandat social";"81 - Mandat d’élu";"89 - Volontariat de service civique";"90 - Autre nature de contrat, convention, mandat";"99 - Non concerné"
nb_per;"Nombre de périodes annexes et non annexes";
nb_postes_du_nir;"Nombre de postes du salarié (nombre d'établissement, lieux de travail différents)";
nbh_activite_partielle;"Nombre d’heures indemnisées au titre de l’activité partielle";
nbheur;"Nombre d'heures salariées du poste dans l'année";
net;"Net fiscal déclaré du salarié";
nic;"Numéro interne de classement (NIC) du lieu de travail";
nic_empl;"Numéro interne de classement (NIC) de l'employeur";
origine;"Origine et format de la déclaration administrative";"CESU - Chèque emploi service universel (PE)";"CNAV_DADS - DADS reçues de la CNAV";"CNAV_DSN - DSN reçues de la CNAVDADS, DADS traitées par SIASP";"DEFENSE - Fichier de paie des militaires reçu du Ministère de la Défense";"DGI_DADS - DADS reçues de la DGFiP";"DNS - Déclaration nominative simplifiée (PE)";"DSN - DSN traitées par SIASP";"PAJE - Prestation d'accueil du jeune enfant (PE)";"STATIS - Fichier de paie des agents de l’État reçu de la DGFiP"
pcs;"Profession et catégorie socio-professionnelle codée selon la nomenclature PCS-ESE";"PCS-ESE - <a href='https://www.insee.fr/fr/information/2912545' target=""_blank ""> cliquer ici</a>"
pepa;"Prime exceptionnelle de pouvoir d'achat";
pps;"Indicateur de poste principal du salarié";"0 - Le poste n'est pas le poste principal du salarié";"1 - Le poste est le poste principal du salarié"
reg_siege;"Région d'implantation du siège de l'entreprise";"Code région - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
regr;"Région de résidence du salarié";"Code région - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
regt;"Région d'implantation du lieu de travail";"Code région - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
s_brut;"Salaire brut du salarié";
s_net;"Salaire net du salarié";
sexe;"Sexe du salarié";"1 - Homme";"2 - Femme"
siren;"SIREN du lieu de travail";
siren_empl;"SIREN de l'employeur";
siret;"SIRET de l'établissement";
siret_utilisateur;"SIRET de l'établissement où l'intérimaire réalise sa mission (pour l'intérim)";
sonde;"Présence du salarié dans l'échantillon au 12ème";"0 - Absence dans l'échantillon au 12ème";"1 - Présence dans l'échantillon au 12ème"
source;"Source de données (l'application dans laquelle ont été traitées les données)";"DIANE_DADS_CNAV - Application Diane, source DADS-CNAV";"DIANE_DADS_DGI - Application Diane, source DADS-DGI";"DIANE_DSN - Application Diane, source DSN";"PE_APPLICATION - Application particulier employeur";"SIASP_APPLICATION - Application SIASP"
treffect;"Tranche d'effectif de l'établissement au 31/12 (postes non annexes) ";"00 - 0 poste";"01 - De 1 à 4 postes";"02 - De 5 à 9 postes";"03 - De 10 à 19 postes";"04 - De 20 à 49 postes";"05 - De 50 à 99 postes";"06 - De 100 à 249 postes";"07 - De 250 à 499 postes";"08 - De 500 à 999 postes";"09 - De 1000 à 1999 postes";"10 - De 2000 à 4999 postes";"11 - 5000 postes et plus"
treffen;"Tranche d'effectif de l'entreprise au 31/12 (postes non annexes) ";"00 - 0 poste";"01 - De 1 à 4 postes";"02 - De 5 à 9 postes";"03 - De 10 à 19 postes";"04 - De 20 à 49 postes";"05 - De 50 à 99 postes";"06 - De 100 à 249 postes";"07 - De 250 à 499 postes";"08 - De 500 à 999 postes";"09 - De 1000 à 1999 postes";"10 - De 2000 à 4999 postes";"11 - 5000 postes et plus"
typ_emploi;"Type d'emploi";"O - Emploi ordinaire";"A - Apprenti";"E - Emploi aidé";"S - Stagiaire";"I - Indemnité de chômage"
typ_rupture_contrat;"Raison de la rupture du contrat";"01 - Licenciement";"02 - Mise à la retraite";"03 - Rupture conventionnelle";"04 - Cessation forcée de fonction de mandataires sociaux"
unitmesureref;"Unité déclarée du temps de travail (déclaration en clair)";
uur;"Unité urbaine de résidence du salarié (zonage définition 2010)";"Unités urbaines 2010 - <a href='https://www.insee.fr/fr/information/2115018' target=""_blank ""> cliquer ici</a>"
uut;"Unité urbaine du lieu de travail (zonage définition 2010)";"Unités urbaines 2010 - <a href='https://www.insee.fr/fr/information/2115018' target=""_blank ""> cliquer ici</a>"
zempr;"Zone d'emploi de résidence du salarié  (zonage définition 2010)";"Zone d'emploi 2010 - <a href='https://www.insee.fr/fr/information/2114596' target=""_blank""> cliquer ici</a>"
zempt;"Zone d'emploi du lieu de travail  (zonage définition 2010)";"Zone d'emploi 2010 - <a href='https://www.insee.fr/fr/information/2114596' target=""_blank""> cliquer ici</a>"
a6_1;"APET ou APEN agrégée en 6 postes de l'année N-1";"AZ - Agriculture, sylviculture et pêche";"BE - Industrie manufacturière, industries extractives et autres";"FZ - Construction";"GI - Commerce de gros et de détail, transports, hébergement et restauration";"JU - Services divers";"OQ - Administration publique, enseignement, santé et action sociale"
a17_1;"APET ou APEN agrégée en 17 postes de l'année N-1";"AZ - Agriculture, sylviculture et pêche";"DE - Industries extractives, énergie, eau, gestion des déchets et dépollution";"C1 - Fabrication de denrées alimentaires, de boissons et de produits à base de tabac";"C2 - Cokéfaction et raffinage";"C3 - Fabrication d'équipements électriques, électroniques, informatiques, fabrication de machines";"C4 - Fabrication de matériels de transport";"C5 - Fabrication d'autres produits industriels";"FZ - Construction";"GZ - Commerce, réparation d'automobiles et de motocycles";"HZ - Transports et entreposage";"IZ - Hébergement et restauration";"JZ - Information et communication";"KZ - Activités financières et d'assurance";"LZ - Activités immobilières";"MN - Activités scientifiques et techniques, services administratifs et de soutien";"OQ - Administration publique, enseignement, santé humaine et action sociale";"RU - Autres activités de services"
a38_1;"APET ou APEN agrégée en 38 postes de l'année N-1";"AZ - Agriculture, sylviculture et pêche";"BZ - Industries extractives";"CA - Fabrication de denrées alimentaires, de boissons et de produits à base de tabac";"CB - Fabrication de textiles, industries de l'habillement, industrie du cuir et de la chaussure";"CC - Travail du bois, industries du papier et imprimerie";"CD - Cokéfaction et raffinage";"CE - Industrie chimique";"CF - Industrie pharmaceutique";"CG - Fabrication de produits en caoutchouc et en plastique ainsi que d'autres produits minéraux non métalliques";"CH - Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements";"CI - Fabrication de produits informatiques, électroniques et optiques";"CJ - Fabrication d'équipements électriques";"CK - Fabrication de machines et équipements N.C.A.";"CL - Fabrication de matériels de transport";"CM - Autres industries manufacturières, réparation et installation de machines et d'équipements";"DZ - Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné";"EZ - Production et distribution d'eau,; assainissement, gestion des déchets et dépollution";"FZ - Construction";"GZ - Commerce, réparation d'automobiles et de motocycles";"HZ - Transports et entreposage";"IZ - Hébergement et restauration";"JA - Edition, audiovisuel et diffusion";"JB - Télécommunications";"JC - Activités informatiques et services d'information";"KZ - Activités financières et d'assurance";"LZ - Activités immobilières";"MA - Activités juridiques, comptables, de gestion, d'architecture, d'ingénierie, de contrôle et d'analyses techniques";"MB - Recherche-développement scientifique";"MC - Autres activités spécialisées, scientifiques et techniques";"NZ - Activités de services administratifs et de soutien";"OZ - Administration publique";"PZ - Enseignement";"QA - Activités pour la santé humaine";"QB - Hébergement médico-social et social et action sociale sans hébergement";"RZ - Arts, spectacles et activités récréatives";"SZ - Autres activités de services";"TZ - Activités des ménages en tant qu'employeurs, activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre";"UZ - Activités extraterritoriales"
