CODEBASE_NEW;"Numéro de la caisse Union de recouvrement des cotisations de sécurité sociale et d'allocations familiales (URSSAF) de rattachement du compte (selon les caisses existantes fin 2015)";"109 - Caisse spécifique des praticiens et auxiliaires médicaux (depuis 2019)";"117 - Ile-de-France";"200 - Corse";"217 - Champagne-Ardenne";"219 - Hauts-de-France : Praticiens et auxiliaires médicaux (en 2018)";"227 - Picardie";"229 - Champagne-Ardenne, Hautes-Alpes, Alpes-de-Haute-Provence, Alpes-Maritimes et Vaucluse : Praticiens et auxiliaires médicaux (en 2018)";"237 - Haute-Normandie";"247 - Centre-Val de Loire";"249 - Centre et Var : Praticiens et auxiliaires médicaux (en 2018)";"257 - Basse-Normandie";"267 - Bourgogne";"287 - Normandie (en 2020)";"317 - Nord-Pas-de-Calais";"417 - Lorraine";"419 - Lorraine et Bouches-du-Rhône : Praticiens et auxiliaires médicaux (en 2018)";"427 - Alsace";"437 - Franche-Comté";"527 - Pays de la Loire";"529 - Pays de la Loire, Seine-et-Marne, Essonne et Val-d’Oise : Praticiens et auxiliaires médicaux (en 2018)";"537 - Bretagne";"547 - Poitou-Charentes";"727 - Aquitaine";"737 - Midi-Pyrénées";"747 - Limousin";"754 - Marins du commerce";"827 - Rhône-Alpes";"837 - Auvergne";"917 - Languedoc-Roussillon";"937 - Provence-Alpes-Côte d’Azur";"971 - Guadeloupe";"972 - Martinique";"973 - Guyane";"974 - La Réunion";"976 - Mayotte"
CODEBASE_NEW_1;"Numéro de la caisse Union de recouvrement des cotisations de sécurité sociale et d'allocations familiales (URSSAF) de rattachement du compte (selon les caisses existantes fin 2015) N - 1";"109 - Caisse spécifique des praticiens et auxiliaires médicaux (depuis 2019)";"117 - Ile-de-France";"200 - Corse";"217 - Champagne-Ardenne";"219 - Hauts-de-France : Praticiens et auxiliaires médicaux (en 2018)";"227 - Picardie";"229 - Champagne-Ardenne, Hautes-Alpes, Alpes-de-Haute-Provence, Alpes-Maritimes et Vaucluse : Praticiens et auxiliaires médicaux (en 2018)";"237 - Haute-Normandie";"247 - Centre-Val de Loire";"249 - Centre et Var : Praticiens et auxiliaires médicaux (en 2018)";"257 - Basse-Normandie";"267 - Bourgogne";"287 - Normandie (en 2020)";"317 - Nord-Pas-de-Calais";"417 - Lorraine";"419 - Lorraine et Bouches-du-Rhône : Praticiens et auxiliaires médicaux (en 2018)";"427 - Alsace";"437 - Franche-Comté";"527 - Pays de la Loire";"529 - Pays de la Loire, Seine-et-Marne, Essonne et Val-d’Oise : Praticiens et auxiliaires médicaux (en 2018)";"537 - Bretagne";"547 - Poitou-Charentes";"727 - Aquitaine";"737 - Midi-Pyrénées";"747 - Limousin";"754 - Marins du commerce";"827 - Rhône-Alpes";"837 - Auvergne";"917 - Languedoc-Roussillon";"937 - Provence-Alpes-Côte d’Azur";"971 - Guadeloupe";"972 - Martinique";"973 - Guyane";"974 - La Réunion";"976 - Mayotte"
INDICTO;"Indicatrice de taxation d'office du non-salarié";"0 - Non";"1 - Oui"
INDICTO_1;"Indicatrice de taxation d'office du non-salarié N - 1";"0 - Non";"1 - Oui"
TO_EXCEDENT;"Indicatrice de suppression des non-salariés taxés d’office excédentaires pour l'année de validité";"0 - Non-salarié à conserver pour les sorties statistiques, notamment le calcul des effectifs";"1 - Non-salarié à supprimer des statistiques"
TO_EXCEDENT_1;"Indicatrice de suppression des non-salariés taxés d’office excédentaires pour l'année N - 1";"0 - Non-salarié à conserver pour les sorties statistiques, notamment le calcul des effectifs";"1 - Non-salarié à supprimer des statistiques"
SIR;"Numéro SIREN de l’entreprise principale";
SIR_1;"Numéro SIREN de l’entreprise principale N - 1";
ID_SIRUS;"Présence du numéro SIREN dans le référentiel Sirus de l'année";"0 - Numéro SIREN non présent dans le référentiel Sirus de l'année";"1 - Numéro SIREN présent dans le référentiel Sirus de l’année, le SIREN paraît correct";"9 - Numéro SIREN présent dans le référentiel Sirus de l’année, mais présomption d'erreur sur le numéro SIREN (l’entreprise retrouvée ne peut pas être dirigée par un non-salarié)"
ID_SIRUS_1;"Présence du numéro SIREN dans le référentiel Sirus de l'année N - 1";"0 - Numéro SIREN non présent dans le référentiel Sirus de l'année";"1 - Numéro SIREN présent dans le référentiel Sirus de l’année, le SIREN paraît correct";"9 - Numéro SIREN présent dans le référentiel Sirus de l’année, mais présomption d'erreur sur le numéro SIREN (l’entreprise retrouvée ne peut pas être dirigée par un non-salarié)"
CREAT_DATE_REF;"Date de création de l'entreprise";
CREAT_DATE_REF_1;"Date de création de l'entreprise N - 1";
CESSA_DATE_REF;"Date de cessation éventuelle de l'entreprise";
CESSA_DATE_REF_1;"Date de cessation éventuelle de l'entreprise N - 1";
A130;"Activité principale de l'entreprise, selon la nomenclature agrégée (NA niveau A129 plus 1 poste pour les gérants sans lien)";"Nomenclature agrégée - <a href='https://www.insee.fr/fr/information/2028155' target=""_blank""> cliquer ici</a>"
A130_1;"Activité principale de l'entreprise, selon la nomenclature agrégée (NA niveau A129 plus 1 poste pour les gérants sans lien) N - 1";"Nomenclature agrégée - <a href='https://www.insee.fr/fr/information/2028155' target=""_blank""> cliquer ici</a>"
A18;"Activité principale de l'entreprise, selon la nomenclature agrégée (NA niveau A17 plus 1 poste pour les gérants sans lien)";"Nomenclature agrégée - <a href='https://www.insee.fr/fr/information/2028155' target=""_blank""> cliquer ici</a>"
A18_1;"Activité principale de l'entreprise, selon la nomenclature agrégée (NA niveau A17 plus 1 poste pour les gérants sans lien) N - 1";"Nomenclature agrégée - <a href='https://www.insee.fr/fr/information/2028155' target=""_blank""> cliquer ici</a>"
A39;"Activité principale de l'entreprise, selon la nomenclature agrégée (NA niveau A38 plus 1 poste pour les gérants sans lien)";"Nomenclature agrégée - <a href='https://www.insee.fr/fr/information/2028155' target=""_blank""> cliquer ici</a>"
A39_1;"Activité principale de l'entreprise, selon la nomenclature agrégée (NA niveau A38 plus 1 poste pour les gérants sans lien) N - 1";"Nomenclature agrégée - <a href='https://www.insee.fr/fr/information/2028155' target=""_blank""> cliquer ici</a>"
A6;"Activité principale de l'entreprise, selon la nomenclature agrégée (NA niveau A5 plus 1 poste pour les gérants sans lien)";"Nomenclature agrégée - <a href='https://www.insee.fr/fr/information/2028155' target=""_blank""> cliquer ici</a>"
A6_1;"Activité principale de l'entreprise, selon la nomenclature agrégée (NA niveau A5 plus 1 poste pour les gérants sans lien) N - 1";"Nomenclature agrégée - <a href='https://www.insee.fr/fr/information/2028155' target=""_blank""> cliquer ici</a>"
TYPENS;"Type de non-salarié";"AE - Micro-entrepreneur";"EI - Entrepreneur individuel";"GE - Gérant majoritaire de société"
TYPENS_1;"Type de non-salarié N - 1";"AE - Micro-entrepreneur";"EI - Entrepreneur individuel";"GE - Gérant majoritaire de société"
AE;"Indicatrice de détection des auto-entrepreneurs";"0 - Non";"1 - Oui"
AE_1;"Indicatrice de détection des auto-entrepreneurs N - 1";"0 - Non";"1 - Oui"
AE_ACTIF;"Indicatrice d'activité au 31 décembre de l'année pour les auto-entrepreneurs (sur 4 trimestres glissants pour les auto-entrepreneurs nouvellement affiliés)";"0 - Micro-entrepreneur inactif";"1 - Micro-entrepreneur actif au 31 décembre de l'année";" - Non micro-entrepreneur"
AE_ACTIF_1;"Indicatrice d'activité au 31 décembre de l'année pour les auto-entrepreneurs (sur 4 trimestres glissants pour les auto-entrepreneurs nouvellement affiliés) N - 1";"0 - Micro-entrepreneur inactif";"1 - Micro-entrepreneur actif au 31 décembre de l'année";" - Non micro-entrepreneur"
APEN2;"Activité principale de l'entreprise (NAF révision 2)";"Nomenclature d'activités française - <a href='https://www.insee.fr/fr/information/2406147' target=""_blank""> cliquer ici</a>"
APEN2_1;"Activité principale de l'entreprise (NAF révision 2) N - 1";"Nomenclature d'activités française - <a href='https://www.insee.fr/fr/information/2406147' target=""_blank""> cliquer ici</a>"
SECT;"Secteur d'activité agrégé de l'entreprise (regroupement en 39 postes)";"01a - Céréales et grandes cultures";"01b - Culture de légumes, fleurs, plantes";"01c - Culture de vignes";"01d - Arboriculture";"01e - Production de bovins";"01f - Production d'ovins, caprins, équidés, autres animaux";"01g - Production de granivores";"01h - Culture et élevage combinés";"01i - Sylviculture et exploitation forestière";"01j - Pêche et aquaculture";"01k - Chasse et services de soutien à l'agriculture";"020 - Industrie (hors artisanat commercial)";"030 - Construction";"04a - Commerce et réparation d'automobiles";"04b - Commerce de gros";"04c - Commerce pharmaceutique";"04d - Métiers de bouche";"04e - Commerce de détail en magasin";"04f - Commerce de détail hors magasin";"05a - Taxis (y compris VTC)";"05b - Autres activités de transport et entreposage";"07z - Information et communication";"08z - Activités financières et d'assurance";"09z - Activités immobilières";"10a - Activités juridiques et comptables";"10b - Conseil de gestion";"10c - Architecture, ingénierie";"10d - Autres activités spécialisées (scientifiques et techniques)";"10e - Vétérinaires";"11z - Services administratifs et de soutien";"13z - Hébergement et restauration";"14z - Arts spectacles et activités récréatives";"15z - Enseignement";"16a - Coiffure et soins de beauté";"16b - Autres services personnels";"20a - Médecins et dentistes";"20b - Professions paramédicales";"20c - Autres services de santé et action sociale";"900 - Secteur d’activité indéterminé (y compris gérants « sans lien »)"
SECT_1;"Secteur d'activité agrégé de l'entreprise (regroupement en 39 postes) N - 1";"01a - Céréales et grandes cultures";"01b - Culture de légumes, fleurs, plantes";"01c - Culture de vignes";"01d - Arboriculture";"01e - Production de bovins";"01f - Production d'ovins, caprins, équidés, autres animaux";"01g - Production de granivores";"01h - Culture et élevage combinés";"01i - Sylviculture et exploitation forestière";"01j - Pêche et aquaculture";"01k - Chasse et services de soutien à l'agriculture";"020 - Industrie (hors artisanat commercial)";"030 - Construction";"04a - Commerce et réparation d'automobiles";"04b - Commerce de gros";"04c - Commerce pharmaceutique";"04d - Métiers de bouche";"04e - Commerce de détail en magasin";"04f - Commerce de détail hors magasin";"05a - Taxis (y compris VTC)";"05b - Autres activités de transport et entreposage";"07z - Information et communication";"08z - Activités financières et d'assurance";"09z - Activités immobilières";"10a - Activités juridiques et comptables";"10b - Conseil de gestion";"10c - Architecture, ingénierie";"10d - Autres activités spécialisées (scientifiques et techniques)";"10e - Vétérinaires";"11z - Services administratifs et de soutien";"13z - Hébergement et restauration";"14z - Arts spectacles et activités récréatives";"15z - Enseignement";"16a - Coiffure et soins de beauté";"16b - Autres services personnels";"20a - Médecins et dentistes";"20b - Professions paramédicales";"20c - Autres services de santé et action sociale";"900 - Secteur d’activité indéterminé (y compris gérants « sans lien »)"
SECTR;"Secteur d'activité agrégé de l'entreprise (regroupement en 9 postes)";"01 - Agriculture";"02 - Industrie (hors artisanat commercial)";"03 - Construction";"04 - Commerce et artisanat commercial";"05 - Transports";"07 - Services aux entreprises et services mixtes";"13 - Services aux particuliers (hors santé)";"20 - Santé humaine et action sociale";"90 - Secteur d'activité indéterminé (y compris gérants « sans lien »)"
SECTR_1;"Secteur d'activité agrégé de l'entreprise (regroupement en 9 postes) N - 1";"01 - Agriculture";"02 - Industrie (hors artisanat commercial)";"03 - Construction";"04 - Commerce et artisanat commercial";"05 - Transports";"07 - Services aux entreprises et services mixtes";"13 - Services aux particuliers (hors santé)";"20 - Santé humaine et action sociale";"90 - Secteur d'activité indéterminé (y compris gérants « sans lien »)"
IND_AGRIC;"Indicatrice d'appartenance au secteur agricole";"0 - Non";"1 - Oui"
IND_AGRIC_1;"Indicatrice d'appartenance au secteur agricole N - 1";"0 - Non";"1 - Oui"
IND_PL;"Indicatrice de détection des professions libérales";"0 - Non";"1 - Oui"
IND_PL_1;"Indicatrice de détection des professions libérales N - 1";"0 - Non";"1 - Oui"
CATJUR;"Catégorie juridique de l'entreprise";"Catégories juridiques - <a href='https://www.insee.fr/fr/information/2028129' target=""_blank""> cliquer ici</a>"
CATJUR_1;"Catégorie juridique de l'entreprise N - 1";"Catégories juridiques - <a href='https://www.insee.fr/fr/information/2028129' target=""_blank""> cliquer ici</a>"
EMPLOYEUR;"Indicatrice de détection des non-salariés employeurs au 31 décembre de l'année";"0 - Pas de salariés employés par l’entreprise";"1 - Un ou des salariés employés par l’entreprise au 31 décembre";"2 - Plus de salariés employés au 31 décembre, mais présence de salariés au cours de l’année"
EMPLOYEUR_1;"Indicatrice de détection des non-salariés employeurs au 31 décembre de l'année N - 1";"0 - Pas de salariés employés par l’entreprise";"1 - Un ou des salariés employés par l’entreprise au 31 décembre";"2 - Plus de salariés employés au 31 décembre, mais présence de salariés au cours de l’année"
NBSA_ENT;"Nombre de salariés employés par l'entreprise au 31 décembre de l'année";". - Aucun salarié";"0 - Aucun salarié au 31 décembre, mais présence de salarié(s) au cours de l’année";"1 - 1 salarié au 31 décembre";"2 - 2 salariés au 31 décembre";" - ...";"x - X salariés au 31 décembre"
NBSA_ENT_1;"Nombre de salariés employés par l'entreprise au 31 décembre de l'année N - 1";". - Aucun salarié";"0 - Aucun salarié au 31 décembre, mais présence de salarié(s) au cours de l’année";"1 - 1 salarié au 31 décembre";"2 - 2 salariés au 31 décembre";" - ...";"x - X salariés au 31 décembre"
IND_3112;"Indicatrice d'activité au 31 décembre de l'année";"0 - Non";"1 - Oui"
IND_3112_1;"Indicatrice d'activité au 31 décembre de l'année N - 1";"0 - Non";"1 - Oui"
DURACTJOURS;"Nombre de jours d'affiliation dans l’année";
DURACTJOURS_1;"Nombre de jours d'affiliation dans l’année N - 1";
DATEASSUJ;"Date d'assujettissement la plus ancienne connue pour le non-salarié";
DATEASSUJ_1;"Date d'assujettissement la plus ancienne connue pour le non-salarié N - 1";
DATEASSUJET;"Première date d'assujettissement du compte, présente l'année de validité";
DATEASSUJET_1;"Première date d'assujettissement du compte, présente l'année de validité N - 1";
DURASSUJET;"Nombre de jours d'affiliation, depuis la date d'assujettissement du compte";
DURASSUJET_1;"Nombre de jours d'affiliation, depuis la date d'assujettissement du compte N - 1";
REVACT;"Revenu d'activité annuel du non-salarié (dernière définition du revenu en vigueur)";
REVACT_1;"Revenu d'activité annuel du non-salarié (dernière définition du revenu en vigueur) N - 1";
REVCOTSOC;"Somme perçue au titre d'un accord d'intéressement, abondement versé dans un plan d'épargne entreprise ou un Plan d'épargne pour la retraite collectif (PERCO), et somme des cotisations sociales versées l'année de validité au titre des revenus non-salariaux perçus les années précédentes";
REVCOTSOC_1;"Somme perçue au titre d'un accord d'intéressement, abondement versé dans un plan d'épargne entreprise ou un Plan d'épargne pour la retraite collectif (PERCO), et somme des cotisations sociales versées l'année de validité au titre des revenus non-salariaux perçus les années précédentes N - 1";
REVREMPL;"Revenu de remplacement éventuel (indemnités journalières de maternité, paternité, maladie, ...)";
REVREMPL_1;"Revenu de remplacement éventuel (indemnités journalières de maternité, paternité, maladie, …) N - 1";
REVBRUT;"Revenu d'activité annuel brut du non-salarié (dernière définition du revenu en vigueur)";
REVBRUT_1;"Revenu d'activité annuel brut du non-salarié (dernière définition du revenu en vigueur) N - 1";
CA_T1;"Chiffre d'affaires de l'auto-entrepreneur au cours du 1ᵉ trimestre de l'année";
CA_T1_1;"Chiffre d'affaires de l'auto-entrepreneur au cours du 1ᵉ trimestre de l'année N - 1";
CA_T2;"Chiffre d'affaires de l'auto-entrepreneur au cours du 2ᵉ trimestre de l'année";
CA_T2_1;"Chiffre d'affaires de l'auto-entrepreneur au cours du 2ᵉ trimestre de l'année N - 1";
CA_T3;"Chiffre d'affaires de l'auto-entrepreneur au cours du 3ᵉ trimestre de l'année";
CA_T3_1;"Chiffre d'affaires de l'auto-entrepreneur au cours du 3ᵉ trimestre de l'année N - 1";
CA_T4;"Chiffre d'affaires de l'auto-entrepreneur au cours du 4ᵉ trimestre de l'année";
CA_T4_1;"Chiffre d'affaires de l'auto-entrepreneur au cours du 4ᵉ trimestre de l'année N - 1";
BIC_PRESTAS;"Chiffre d'affaires annuel de l'auto-entrepreneur pour les prestations de services";
BIC_PRESTAS_1;"Chiffre d'affaires annuel de l'auto-entrepreneur pour les prestations de services N - 1";
BIC_VENTES;"Chiffre d'affaires annuel de l'auto-entrepreneur pour les activités de ventes";
BIC_VENTES_1;"Chiffre d'affaires annuel de l'auto-entrepreneur pour les activités de ventes N - 1";
BNC;"Chiffre d'affaires annuel de l'auto-entrepreneur pour les activités libérales";
BNC_1;"Chiffre d'affaires annuel de l'auto-entrepreneur pour les activités libérales N - 1";
STATR;"Statut principal agrégé au 31 décembre de l'année (dernière définition du revenu en vigueur)";"1 - Principalement non-salarié : aucun poste salarié au cours de la dernière semaine de l’année ; poste salarié au cours de la dernière semaine ; revenu non-salarié supérieur ou égal à la somme des salaires nets associés aux postes salariés";"2 - Au moins un poste salarié au cours de la dernière semaine de l’année ; revenu non-salarié inférieur à la somme des salaires nets associés aux postes salariés";" - Pas d’activité non-salariée au 31 décembre de l’année"
STATR_1;"Statut principal agrégé au 31 décembre de l'année N - 1 (dernière définition du revenu en vigueur)";"1 - Principalement non-salarié : aucun poste salarié au cours de la dernière semaine de l’année ; poste salarié au cours de la dernière semaine ; revenu non-salarié supérieur ou égal à la somme des salaires nets associés aux postes salariés";"2 - Au moins un poste salarié au cours de la dernière semaine de l’année ; revenu non-salarié inférieur à la somme des salaires nets associés aux postes salariés";" - Pas d’activité non-salariée au 31 décembre de l’année"
STATUT;"Statut principal au 31 décembre de l'année (dernière définition du revenu en vigueur)";"1 - Au moins un poste salarié au cours de la dernière semaine de l’année ; revenu non-salarié supérieur ou égal à la somme des salaires nets associés aux postes salariés";"2 - Au moins un poste salarié au cours de la dernière semaine de l’année ; revenu non-salarié supérieur à la somme des salaires nets associés aux postes salariés";"3 - Aucun poste salarié sur toute l’année";"4 - Pas de poste salarié au cours de la dernière semaine de l’année, mais au moins un poste salarié dans l’année ; revenu non-salarié supérieur ou égal à la somme des salaires nets associés aux postes salariés";"5 - Pas de poste salarié au cours de la dernière semaine de l’année, mais au moins un poste salarié dans l’année ; revenu non-salarié supérieur à la somme des salaires nets associés aux postes salariés";" - Pas d’activité non-salariée au 31 décembre de l'année"
STATUT_1;"Statut principal au 31 décembre de l'année N - 1 (dernière définition du revenu en vigueur)";"1 - Au moins un poste salarié au cours de la dernière semaine de l’année ; revenu non-salarié supérieur ou égal à la somme des salaires nets associés aux postes salariés";"2 - Au moins un poste salarié au cours de la dernière semaine de l’année ; revenu non-salarié supérieur à la somme des salaires nets associés aux postes salariés";"3 - Aucun poste salarié sur toute l’année";"4 - Pas de poste salarié au cours de la dernière semaine de l’année, mais au moins un poste salarié dans l’année ; revenu non-salarié supérieur ou égal à la somme des salaires nets associés aux postes salariés";"5 - Pas de poste salarié au cours de la dernière semaine de l’année, mais au moins un poste salarié dans l’année ; revenu non-salarié supérieur à la somme des salaires nets associés aux postes salariés";" - Pas d’activité non-salariée au 31 décembre de l'année"
S_APET2;"Activité de l'établissement d'exercice de l'activité salariée (poste principal)";"Nomenclature d'activités française - <a href='https://www.insee.fr/fr/information/2406147' target=""_blank""> cliquer ici</a>"
S_APET2_1;"Activité de l'établissement d'exercice de l'activité salariée (poste principal) N - 1";"Nomenclature d'activités française - <a href='https://www.insee.fr/fr/information/2406147' target=""_blank""> cliquer ici</a>"
S_CE;"Condition d'emploi de l'activité salariée (poste principal)";"C - Temps complet";"N - Non renseigné";"P - Temps partiel";" - Pas de poste salarié ou valeur non renseignée"
S_CE_1;"Condition d'emploi de l'activité salariée (poste principal) N - 1";"C - Temps complet";"N - Non renseigné";"P - Temps partiel";" - Pas de poste salarié ou valeur non renseignée"
S_DEBREMU_MIN;"Jour de début de l'activité salariée dans l'année";"1 - Poste salarié en début d’année";"2 à 360 - Premier jour d’activité dans l’année";". - Pas de poste salarié"
S_DEBREMU_MIN_1;"Jour de début de l'activité salariée dans l'année N - 1";"1 - Poste salarié en début d’année";"2 à 360 - Premier jour d’activité dans l’année";". - Pas de poste salarié"
S_FINREMU_MAX;"Jour de fin de l'activité salariée dans l'année";"1 à 359 - Dernier jour d'activité dans l'année, sauf en cas de décalage de paie";"360 - Poste salarié la dernière semaine de l'année";". - Pas de poste salarié"
S_FINREMU_MAX_1;"Jour de fin de l'activité salariée dans l'année N - 1";"2 à 359 - Dernier jour d'activité dans l'année, sauf en cas de décalage de paie";"360 - Poste salarié la dernière semaine de l'année";". - Pas de poste salarié"
S_DP;"Durée de paie de l'activité salariée dans l'année";"1 à 360 - Un à 360 jours de paie";". - Pas de poste salarié"
S_DP_1;"Durée de paie de l'activité salariée dans l'année N - 1";"2 à 360 - Un à 360 jours de paie";". - Pas de poste salarié"
S_DOMEMPL_EMPL;"Domaine d'emploi de l'employeur pour l'activité salariée (poste principal)";"1 - Fonction publique d’État";"2 - Fonction publique territoriale";"3 - Fonction publique hospitalière";"4 - Autre organisme public administratif";"5 - Personne morale de droit public soumise au droit commercial";"6 - Entreprise individuelle";"7 - Particulier employeur";"8 - Organisme privé spécialisé ou groupement de droit privé";"9 - Autre société privée";" - Pas de poste salarié"
S_DOMEMPL_EMPL_1;"Domaine d'emploi de l'employeur pour l'activité salariée (poste principal) N - 1";"1 - Fonction publique d’État";"2 - Fonction publique territoriale";"3 - Fonction publique hospitalière";"4 - Autre organisme public administratif";"5 - Personne morale de droit public soumise au droit commercial";"6 - Entreprise individuelle";"7 - Particulier employeur";"8 - Organisme privé spécialisé ou groupement de droit privé";"9 - Autre société privée";" - Pas de poste salarié"
S_NBSA_ENT;"Nombre de postes non annexes de l'établissement d'exercice de l'activité salariée (poste principal)";
S_NBSA_ENT_1;"Nombre de postes non annexes de l'établissement d'exercice de l'activité salariée (poste principal) N - 1";
S_FILT_MIN;"Présence d'un poste salarié non annexe au cours de l'année de validité";"1 - Existence d'un poste non annexe";"2 - Postes annexes uniquement";"3 - Assedic";" - Pas de poste salarié"
S_FILT_MIN_1;"Présence d'un poste salarié non annexe au cours de l'année de validité N - 1";"1 - Existence d'un poste non annexe";"2 - Postes annexes uniquement";"3 - Assedic";" - Pas de poste salarié"
S_IND_3112;"Indicatrice d'activité salariée en fin d'année";"0 - Poste salarié dans l’année, mais pas la dernière semaine";"1 - Poste salarié la dernière semaine de l’année, mais pas le 31 décembre";"2 - Poste salarié le 31 décembre de l’année";" - Pas de poste salarié"
S_IND_3112_1;"Indicatrice d'activité salariée en fin d'année N - 1";"0 - Poste salarié dans l’année, mais pas la dernière semaine";"1 - Poste salarié la dernière semaine de l’année, mais pas le 31 décembre";"2 - Poste salarié le 31 décembre de l’année";" - Pas de poste salarié"
S_NBHEUR;"Nombre total d'heures salariées associées aux postes salariés dans l'année (hors postes d'élus)";
S_NBHEUR_1;"Nombre total d'heures salariées associées aux postes salariés dans l'année (hors postes d'élus) N - 1";
S_NBLIG;"Nombre de postes salariés au cours de l'année de validité (hors postes d'élus)";
S_NBLIG_1;"Nombre de postes salariés au cours de l'année de validité (hors postes d'élus) N - 1";
S_PCS4;"Code des Professions et Catégories Socioprofessionnelles des Emplois Salariés des Employeurs privés et publiques (PCS-ESE) de l'activité salariée (poste principal)";"Professions et Catégories Socioprofessionnelles des Emplois Salariés des Employeurs privés et publiques (PCS-ESE) - <a href='https://www.insee.fr/fr/information/2497958' target=""_blank""> cliquer ici</a>"
S_PCS4_1;"Code des Professions et Catégories Socioprofessionnelles des Emplois Salariés des Employeurs privés et publiques (PCS-ESE) de l'activité salariée (poste principal) N - 1";"Professions et Catégories Socioprofessionnelles des Emplois Salariés des Employeurs privés et publiques (PCS-ESE) - <a href='https://www.insee.fr/fr/information/2497958' target=""_blank""> cliquer ici</a>"
S_NIC4;"Numéro SIRET de l'établissement d'exercice de l'activité salariée (poste principal)";
S_NIC4_1;"Numéro SIRET de l'établissement d'exercice de l'activité salariée (poste principal) N - 1";
S_BRUT;"Somme des salaires bruts associés aux postes salariés (hors indemnités d'élus)";
S_BRUT_1;"Somme des salaires bruts associés aux postes salariés (hors indemnités d'élus) N - 1";
S_NET;"Somme des salaires nets associés aux postes salariés (hors indemnités d'élus)";
S_NET_1;"Somme des salaires nets associés aux postes salariés (hors indemnités d'élus) N - 1";
S_NETYCCSG;"Somme des salaires nets associés aux postes salariés, y compris Contribution sociale généralisée (CSG) et Contribution pour le remboursement de la dette sociale (CRDS) (hors indemnités d'élus)";
S_NETYCCSG_1;"Somme des salaires nets associés aux postes salariés, y compris Contribution sociale généralisée (CSG) et Contribution pour le remboursement de la dette sociale (CRDS) (hors indemnités d'élus) N - 1";
S_NETYCCSG_AP;"Somme des salaires nets associés aux postes salariés et du montant net de l’indemnité versée au titre du chômage partiel, y compris Contribution sociale généralisée (CSG) non déductible et Contribution pour le remboursement de la dette sociale (CRDS) (hors indemnités d’élus)";



bns_msa_2020
"Base de la Caisse centrale de la mutualité sociale agricole, recouvrant les cotisations sociales de la sphère agricole 2020"

"Nom de la variable";Libellé;Modalités
IDENT_NS;"Identifiant du non-salarié";
AGE;"Âge atteint par le non-salarié au cours de l'année de validité";
ANNAI;"Année de naissance du non-salarié";
DEPNAI;"Département de naissance du non-salarié";"Code officiel géographique - <a href='https://www.insee.fr/fr/information/2560452' target=""_blank""> cliquer ici</a>"
SX;"Genre du non-salarié";"0 - Femme";"1 - Homme"
FILT;"Indicatrice de détection des affiliés à l'Agence centrale des organismes de sécurité sociale (Acoss) ou la Mutualité sociale agricole (MSA) au cours de l'année de validité N";"A - L’affilié est présent dans les fichiers de l'Urssaf l'année N";"M - L’affilié est présent dans les fichiers de la MSA l'année N";" - L’affilié est absent des fichiers Urssaf et MSA l'année N"
